"report_date","ticker","rsi_1","rsi_2","rsi_3","rsi_4","rsi_5","rsi_6","rsi_7","rsi_8","rsi_9","rsi_10","rsi_11","rsi_12","rsi_13","rsi_14","rsi_15","rsi_16","rsi_17","rsi_18","rsi_19","rsi_20","sma_10","sma_20","sma_50","sma_200","ema_10","ema_20","ema_50","ema_200","macd_12_26_9_line","macd_12_26_9_signal","macd_12_26_9_histogram","rv_10","rv_20","rv_30","rv_60","hls_10","hls_20","obv"
1997-01-02,AAPL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.680188,0.680188,0.680188,0.680188,0.680188,0.680188,0.680188,0.680188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2048242,1.2048242,35778400
1997-01-03,AAPL,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.692334,0.692334,0.692334,0.692334,0.6846047,0.6825015,0.6811406,0.6804297,0.0019378234,0.00038756,0.0015502587,0.0,0.0,0.0,0.0,2.3881264,2.3881264,65707600
1997-01-06,AAPL,0.0,16.215963,16.215963,16.215963,16.215963,16.215963,16.215963,16.215963,16.215963,16.215963,16.215963,16.215963,16.215963,16.215963,16.215963,16.215963,16.215963,16.215963,16.215963,16.215963,0.65454566,0.65454566,0.65454566,0.65454566,0.66539824,0.6726413,0.6771339,0.6794202,-0.006578296,-0.0010056074,-0.0055726883,0.0,0.0,0.0,0.0,2.7998157,2.7998157,-405000400
1997-01-07,AAPL,0.0,0.0,14.9997835,14.9997835,14.9997835,14.9997835,14.9997835,14.9997835,14.9997835,14.9997835,14.9997835,14.9997835,14.9997835,14.9997835,14.9997835,14.9997835,14.9997835,14.9997835,14.9997835,14.9997835,0.632615,0.632615,0.632615,0.632615,0.6474755,0.6625633,0.672808,0.6782998,-0.014144414,-0.0036333688,-0.010511045,0.0,0.0,0.0,0.0,2.0998619,2.0998619,-649233200
1997-01-08,AAPL,100.0,25.001543,2.8573244,17.073097,17.073097,17.073097,17.073097,17.073097,17.073097,17.073097,17.073097,17.073097,17.073097,17.073097,17.073097,17.073097,17.073097,17.073097,17.073097,17.073097,0.6202664,0.6202664,0.6202664,0.6202664,0.63354754,0.6538308,0.6688105,0.67723083,-0.019588098,-0.0068243146,-0.012763783,0.0,0.0,0.0,0.0,1.9676592,1.9676592,-374200400
1997-01-09,AAPL,100.0,100.0,40.001976,5.5558987,19.047674,19.047674,19.047674,19.047674,19.047674,19.047674,19.047674,19.047674,19.047674,19.047674,19.047674,19.047674,19.047674,19.047674,19.047674,19.047674,0.6127088,0.6127088,0.6127088,0.6127088,0.6228882,0.64631563,0.6651285,0.67621285,-0.023306869,-0.010120826,-0.013186043,0.0,0.0,0.0,0.0,1.8778121,1.8778121,-262536400
1997-01-10,AAPL,100.0,100.0,100.0,66.666664,14.9997835,26.08663,26.08663,26.08663,26.08663,26.08663,26.08663,26.08663,26.08663,26.08663,26.08663,26.08663,26.08663,26.08663,26.08663,26.08663,0.609624,0.609624,0.609624,0.609624,0.61711127,0.64105844,0.6622261,0.6753661,-0.024663001,-0.013029261,-0.011633741,0.0,0.0,0.0,0.0,2.116139,2.116139,-174106800
1997-01-13,AAPL,0.0,80.001976,83.33539,85.7163,60.000988,14.634,25.53169,25.53169,25.53169,25.53169,25.53169,25.53169,25.53169,25.53169,25.53169,25.53169,25.53169,25.53169,25.53169,25.53169,0.6068044,0.6068044,0.6068044,0.6068044,0.6116487,0.63591635,0.65927863,0.6744875,-0.025767356,-0.0155768795,-0.010190477,0.0,0.0,0.0,0.0,1.8516215,1.8516215,-250544000
1997-01-14,AAPL,0.0,0.0,57.14185,62.499615,66.666664,50.0,13.953301,24.489508,24.489508,24.489508,24.489508,24.489508,24.489508,24.489508,24.489508,24.489508,24.489508,24.489508,24.489508,24.489508,0.60371155,0.60371155,0.60371155,0.60371155,0.6057069,0.6304928,0.65612924,0.6735371,-0.026984941,-0.017858492,-0.009126448,0.0,0.0,0.0,0.0,1.7241324,1.7241324,-314487600
1997-01-15,AAPL,0.0,0.0,0.0,33.332645,38.46139,42.857395,35.29429,12.499871,22.22202,22.22202,22.22202,22.22202,22.22202,22.22202,22.22202,22.22202,22.22202,22.22202,22.22202,22.22202,0.599213,0.599213,0.599213,0.599213,0.5971649,0.6236579,0.65230954,0.6723947,-0.029246194,-0.020136032,-0.009110161,109.78003,0.0,0.0,0.0,1.6247113,1.6247113,-422760800
